1 Se rompe sin tocarse que es,Una promesa
2 Aumenta contigo y no retrocede que es,La edad
3 Estoy seca te seco y me mojo que soy,La toalla
4 Sube cada anio y no baja que es,La edad
5 Viajo en cartas pegado a una esquina que soy,Un sello
6 De vidrio o plastico con cuello que soy,La botella
7 Corro sin piernas y muero en el mar que soy,Un rio
8 Te respondo cuando me hablas sin tener boca que soy,El eco
9 Me sigues sin tocarme cruzo agua sin mojarme que soy,La sombra
10 Vivo en cuevas y repito tu voz que soy,El eco
11 Tengo orejas y no oigo que soy,El maiz
12 Entre mas me quitan mas grande me vuelvo que soy,Un agujero
13 Tengo muchas llaves y no abro puertas que soy,Un piano
14 Tengo lengua y no hablo camino sin pies que soy,El zapato
15 Hago musica y tengo teclas que soy,Un piano
16 Llega despues y nunca ahora que es,El manana
17 Doy sombra madera y frutos que soy,Un arbol
18 Viajo en cartas pegado a una esquina que soy,Un sello
19 Soy vacio y crezco cuando me sacan que soy,Un agujero
20 Me sigues sin tocarme cruzo agua sin mojarme que soy,La sombra
21 Siempre viene pero nunca es hoy que es,El manana
22 Siempre llega pero nunca esta aqui que es,El manana
23 Doy la vuelta al mundo sin moverme del sobre que soy,Un sello
24 Muestro rios sin agua y ciudades sin casas que soy,Un mapa
25 Sube cada anio y no baja que es,La edad
26 Repito lo que dices sin boca ni oidos que soy,El eco
27 Voy por el suelo con cordones que soy,El zapato
28 Desaparezco cuando hablas que soy,El silencio
29 Tengo anillos en el tronco y no joyas que soy,Un arbol
30 Llega despues y nunca ahora que es,El manana
31 Vuelo sin alas lloro sin ojos dime que soy,Las nubes
32 Siempre viene pero nunca es hoy que es,El manana
33 Floto en el cielo y traigo lluvia que soy,Las nubes
34 Llega despues y nunca ahora que es,El manana
35 Muestro rios sin agua y ciudades sin casas que soy,Un mapa
36 Rojo ardiente me alimenta el aire que soy,El fuego
37 Desaparezco cuando hablas que soy,El silencio
38 Sube cada anio y no baja que es,La edad
39 Repito lo que dices sin boca ni oidos que soy,El eco
40 Corro sin piernas y muero en el mar que soy,Un rio
41 Soy vacio y crezco cuando me sacan que soy,Un agujero
42 Vivo en cuevas y repito tu voz que soy,El eco
43 Sin pulmones respiro y sin vida crezco que soy,El fuego
44 Doy sombra madera y frutos que soy,Un arbol
45 Doy la vuelta al mundo sin moverme del sobre que soy,Un sello
46 Vivo en cuevas y repito tu voz que soy,El eco
47 Me sigues sin tocarme cruzo agua sin mojarme que soy,La sombra
48 Viajo en cartas pegado a una esquina que soy,Un sello
49 Voy por el suelo con cordones que soy,El zapato
50 Nazco con la luz y muero en la oscuridad que soy,La sombra
51 Tengo dientes sin hambre que soy,Un peine
52 Tengo anillos en el tronco y no joyas que soy,Un arbol
53 Muestro rios sin agua y ciudades sin casas que soy,Un mapa
54 Nazco con la luz y muero en la oscuridad que soy,La sombra
55 De vidrio o plastico con cuello que soy,La botella
56 Estoy seca te seco y me mojo que soy,La toalla
57 Floto en el cielo y traigo lluvia que soy,Las nubes
58 Sin pulmones respiro y sin vida crezco que soy,El fuego
